,Unnamed: 0,l1,l2,numColexified,numMatchingColexified,n_overlapConcepts,n_overlapConceptPairs,l1_iso2,l2_iso2
1087,1087,port1283,dani1285,20,450606,950,450775,pt,da
1088,1088,port1283,swed1254,17,451560,951,451725,pt,sv
1089,1089,port1283,stan1293,15,451548,951,451725,pt,en
1090,1090,port1283,dutc1256,23,451557,951,451725,pt,nl
1091,1091,port1283,stan1295,16,451589,951,451725,pt,de
1092,1092,port1283,lith1251,32,451561,951,451725,pt,lt
1093,1093,port1283,latv1249,24,451582,951,451725,pt,lv
1094,1094,port1283,bulg1262,35,449664,949,449826,pt,bg
1095,1095,port1283,czec1258,21,451580,951,451725,pt,cs
1096,1096,port1283,poli1260,30,451577,951,451725,pt,pl
1097,1097,port1283,russ1263,14,451585,951,451725,pt,ru
1098,1098,port1283,west2369,33,451541,951,451725,pt,fa
1099,1099,port1283,basq1248,33,451527,951,451725,pt,eu
1100,1100,port1283,beng1280,14,451529,951,451725,pt,bn
1101,1101,port1283,tami1289,16,451567,951,451725,pt,ta
1102,1102,port1283,telu1262,21,451473,951,451725,pt,te
1103,1103,port1283,veps1250,28,451546,951,451725,pt,vep
1104,1104,port1283,west2392,28,447725,947,447931,pt,mrj
1105,1105,port1283,moks1248,29,450565,950,450775,pt,mdf
1106,1106,port1283,nort2641,17,451511,951,451725,pt,ku
1107,1107,port1283,nucl1235,12,450626,950,450775,pt,hy
1108,1108,port1283,croa1245,16,450622,950,450775,pt,hr
1109,1109,port1283,slov1268,9,450641,950,450775,pt,sl
1110,1110,port1283,slov1269,23,451584,951,451725,pt,sk
1111,1111,port1283,ukra1253,8,451594,951,451725,pt,uk
1112,1112,port1283,bela1254,10,451596,951,451725,pt,be
1113,1113,port1283,icel1247,21,451578,951,451725,pt,is
1114,1114,port1283,norw1258,14,450618,950,450775,pt,no
1115,1115,port1283,nucl1301,27,451532,951,451725,pt,tr
1116,1116,port1283,kaza1248,18,451551,951,451725,pt,kk
1117,1117,port1283,bash1264,28,451523,951,451725,pt,ba
1118,1118,port1283,tata1255,20,451514,951,451725,pt,tt
1119,1119,port1283,chuv1255,19,450525,950,450775,pt,cv
1120,1120,port1283,yaku1245,25,451460,951,451725,pt,sah
1121,1121,port1283,kalm1243,19,450590,950,450775,pt,xal
1122,1122,port1283,kore1280,13,442123,941,442270,pt,ko
1123,1123,port1283,nucl1643,15,451512,951,451725,pt,ja
1124,1124,port1283,nucl1305,11,451566,951,451725,pt,kn
1125,1125,port1283,mala1464,19,451591,951,451725,pt,ml
1126,1126,port1283,nucl1302,10,451577,951,451725,pt,ka
1127,1127,port1283,abkh1244,24,432704,931,432915,pt,ab
1128,1128,port1283,hebr1245,21,451577,951,451725,pt,he
1129,1129,port1283,mand1415,16,446790,946,446985,pt,zh
1130,1130,roma1327,iris1253,35,449528,949,449826,ro,ga
1131,1131,roma1327,wels1247,32,451511,951,451725,ro,cy
1132,1132,roma1327,bret1244,34,438314,937,438516,ro,br
1133,1133,roma1327,dani1285,28,450605,950,450775,ro,da
1134,1134,roma1327,swed1254,19,451548,951,451725,ro,sv
1135,1135,roma1327,stan1293,15,451532,951,451725,ro,en
1136,1136,roma1327,dutc1256,27,451549,951,451725,ro,nl
1137,1137,roma1327,stan1295,16,451573,951,451725,ro,de
1138,1138,roma1327,lith1251,38,451557,951,451725,ro,lt
1139,1139,roma1327,latv1249,28,451574,951,451725,ro,lv
1140,1140,roma1327,bulg1262,41,449660,949,449826,ro,bg
1141,1141,roma1327,czec1258,25,451572,951,451725,ro,cs
1142,1142,roma1327,poli1260,37,451575,951,451725,ro,pl
1143,1143,roma1327,russ1263,19,451579,951,451725,ro,ru
1144,1144,roma1327,west2369,39,451537,951,451725,ro,fa
1145,1145,roma1327,basq1248,32,451509,951,451725,ro,eu
1146,1146,roma1327,beng1280,19,451523,951,451725,ro,bn
1147,1147,roma1327,tami1289,18,451555,951,451725,ro,ta
1148,1148,roma1327,telu1262,27,451469,951,451725,ro,te
1149,1149,roma1327,veps1250,29,451532,951,451725,ro,vep
1150,1150,roma1327,west2392,32,447717,947,447931,ro,mrj
1151,1151,roma1327,moks1248,29,450549,950,450775,ro,mdf
1152,1152,roma1327,nort2641,26,451513,951,451725,ro,ku
1153,1153,roma1327,nucl1235,18,450621,950,450775,ro,hy
1154,1154,roma1327,croa1245,23,450620,950,450775,ro,hr
1155,1155,roma1327,slov1268,8,450624,950,450775,ro,sl
1156,1156,roma1327,slov1269,26,451574,951,451725,ro,sk
1157,1157,roma1327,ukra1253,10,451582,951,451725,ro,uk
1158,1158,roma1327,bela1254,13,451586,951,451725,ro,be
1159,1159,roma1327,icel1247,15,451550,951,451725,ro,is
1160,1160,roma1327,norw1258,16,450605,950,450775,ro,no
1161,1161,roma1327,nucl1301,29,451520,951,451725,ro,tr
1162,1162,roma1327,kaza1248,22,451543,951,451725,ro,kk
1163,1163,roma1327,bash1264,34,451519,951,451725,ro,ba
1164,1164,roma1327,tata1255,25,451508,951,451725,ro,tt
1165,1165,roma1327,chuv1255,21,450513,950,450775,ro,cv
1166,1166,roma1327,yaku1245,31,451456,951,451725,ro,sah
1167,1167,roma1327,kalm1243,21,450578,950,450775,ro,xal
1168,1168,roma1327,kore1280,16,442113,941,442270,ro,ko
1169,1169,roma1327,nucl1643,23,451512,951,451725,ro,ja
1170,1170,roma1327,nucl1305,12,451552,951,451725,ro,kn
1171,1171,roma1327,mala1464,15,451567,951,451725,ro,ml
1172,1172,roma1327,nucl1302,12,451565,951,451725,ro,ka
1173,1173,roma1327,abkh1244,24,432689,931,432915,ro,ab
1174,1174,roma1327,hebr1245,20,451559,951,451725,ro,he
1175,1175,roma1327,mand1415,16,446774,946,446985,ro,zh
1176,1176,iris1253,wels1247,40,449532,949,449826,ga,cy
1177,1177,iris1253,bret1244,40,436365,935,436645,ga,br
1178,1178,iris1253,dani1285,18,448594,948,448878,ga,da
1179,1179,iris1253,swed1254,20,449555,949,449826,ga,sv
1180,1180,iris1253,stan1293,16,449539,949,449826,ga,en
1181,1181,iris1253,dutc1256,26,449552,949,449826,ga,nl
1182,1182,iris1253,stan1295,11,449568,949,449826,ga,de
