Longitude,Latitude,Time,Precipitation
113.75E,81.25S,Jan 1960,4.717336
116.25E,81.25S,Jan 1960,4.983643
118.75E,81.25S,Jan 1960,5.451844
121.25E,81.25S,Jan 1960,5.989206
123.75E,81.25S,Jan 1960,6.484432
126.25E,81.25S,Jan 1960,6.993854
128.75E,81.25S,Jan 1960,7.449005
131.25E,81.25S,Jan 1960,7.627167
133.75E,81.25S,Jan 1960,7.559045
136.25E,81.25S,Jan 1960,7.475788
138.75E,81.25S,Jan 1960,7.506389
141.25E,81.25S,Jan 1960,7.909555
143.75E,81.25S,Jan 1960,8.810307
146.25E,81.25S,Jan 1960,9.72974
148.75E,81.25S,Jan 1960,10.29025
151.25E,81.25S,Jan 1960,10.61193
153.75E,81.25S,Jan 1960,10.76732
156.25E,81.25S,Jan 1960,10.82418
158.75E,81.25S,Jan 1960,10.89912
161.25E,81.25S,Jan 1960,10.99027
163.75E,81.25S,Jan 1960,11.05315
166.25E,81.25S,Jan 1960,10.73517
168.75E,81.25S,Jan 1960,10.41915
171.25E,81.25S,Jan 1960,11.39202
173.75E,81.25S,Jan 1960,13.12476
176.25E,81.25S,Jan 1960,14.04476
178.75E,81.25S,Jan 1960,14.01731
178.75W,81.25S,Jan 1960,13.6248
176.25W,81.25S,Jan 1960,13.31242
173.75W,81.25S,Jan 1960,13.27034
171.25W,81.25S,Jan 1960,13.46812
168.75W,81.25S,Jan 1960,14.04852
166.25W,81.25S,Jan 1960,15.33981
163.75W,81.25S,Jan 1960,17.24389
161.25W,81.25S,Jan 1960,19.68567
158.75W,81.25S,Jan 1960,22.00103
156.25W,81.25S,Jan 1960,22.68538
153.75W,81.25S,Jan 1960,22.26426
151.25W,81.25S,Jan 1960,22.33159
148.75W,81.25S,Jan 1960,22.9348
146.25W,81.25S,Jan 1960,23.49301
143.75W,81.25S,Jan 1960,23.6833
141.25W,81.25S,Jan 1960,23.52475
138.75W,81.25S,Jan 1960,23.14381
136.25W,81.25S,Jan 1960,22.51681
133.75W,81.25S,Jan 1960,21.72501
131.25W,81.25S,Jan 1960,21.00079
128.75W,81.25S,Jan 1960,20.36556
126.25W,81.25S,Jan 1960,19.63816
123.75W,81.25S,Jan 1960,18.86346
121.25W,81.25S,Jan 1960,18.14019
118.75W,81.25S,Jan 1960,17.5286
116.25W,81.25S,Jan 1960,17.23142
113.75W,81.25S,Jan 1960,17.14725
111.25W,81.25S,Jan 1960,16.92747
108.75W,81.25S,Jan 1960,16.56691
106.25W,81.25S,Jan 1960,16.3113
103.75W,81.25S,Jan 1960,16.1283
101.25W,81.25S,Jan 1960,15.82679
98.75W,81.25S,Jan 1960,15.47995
96.25W,81.25S,Jan 1960,15.15346
93.75W,81.25S,Jan 1960,14.80598
